name,description,stock,price,category
Bookshelf,Wooden 5-tier shelf,86,971,Furniture
Running Shoes,"Size 10, Breathable Mesh",66,953,Clothing
Wristwatch,"Analog, Leather Strap",20,903,Fashion
Blender,"500W, 3-speed",50,341,Appliances
Laptop,"14-inch, 8GB RAM, 256GB SSD",18,859,Electronics
Guitar,"Acoustic, Natural Finish",83,201,Musical Instruments
LED Light Bulb,"60W Equivalent, Soft White",31,310,Home Goods
LED Light Bulb,"60W Equivalent, Soft White",40,259,Home Goods
Laptop,"14-inch, 8GB RAM, 256GB SSD",70,971,Electronics
Blender,"500W, 3-speed",30,779,Appliances
LED Light Bulb,"60W Equivalent, Soft White",7,374,Home Goods
Desk Chair,"Ergonomic, Adjustable height",75,75,Furniture
Running Shoes,"Size 10, Breathable Mesh",95,343,Clothing
Guitar,"Acoustic, Natural Finish",95,299,Musical Instruments
Backpack,"Water-resistant, 20L capacity",63,727,Accessories
Running Shoes,"Size 10, Breathable Mesh",11,820,Clothing
Blender,"500W, 3-speed",24,388,Appliances
Wristwatch,"Analog, Leather Strap",95,883,Fashion
Wristwatch,"Analog, Leather Strap",93,642,Fashion
Desk Chair,"Ergonomic, Adjustable height",53,192,Furniture
Blender,"500W, 3-speed",17,973,Appliances
Running Shoes,"Size 10, Breathable Mesh",81,396,Clothing
Mobile Phone,"5.5-inch display, 64GB",40,657,Electronics
Running Shoes,"Size 10, Breathable Mesh",81,911,Clothing
Bookshelf,Wooden 5-tier shelf,8,364,Furniture
Desk Chair,"Ergonomic, Adjustable height",71,291,Furniture
Backpack,"Water-resistant, 20L capacity",72,278,Accessories
Backpack,"Water-resistant, 20L capacity",81,245,Accessories
Guitar,"Acoustic, Natural Finish",82,687,Musical Instruments
LED Light Bulb,"60W Equivalent, Soft White",23,57,Home Goods
Backpack,"Water-resistant, 20L capacity",15,934,Accessories
LED Light Bulb,"60W Equivalent, Soft White",42,642,Home Goods
Blender,"500W, 3-speed",53,823,Appliances
Guitar,"Acoustic, Natural Finish",44,249,Musical Instruments
Backpack,"Water-resistant, 20L capacity",57,555,Accessories
Mobile Phone,"5.5-inch display, 64GB",20,655,Electronics
Laptop,"14-inch, 8GB RAM, 256GB SSD",30,172,Electronics
Wristwatch,"Analog, Leather Strap",22,169,Fashion
LED Light Bulb,"60W Equivalent, Soft White",99,786,Home Goods
Guitar,"Acoustic, Natural Finish",37,964,Musical Instruments
Bookshelf,Wooden 5-tier shelf,10,853,Furniture
Laptop,"14-inch, 8GB RAM, 256GB SSD",45,145,Electronics
LED Light Bulb,"60W Equivalent, Soft White",10,667,Home Goods
Mobile Phone,"5.5-inch display, 64GB",24,124,Electronics
Backpack,"Water-resistant, 20L capacity",33,414,Accessories
Running Shoes,"Size 10, Breathable Mesh",56,494,Clothing
Backpack,"Water-resistant, 20L capacity",70,911,Accessories
LED Light Bulb,"60W Equivalent, Soft White",94,45,Home Goods
Bookshelf,Wooden 5-tier shelf,13,79,Furniture
Desk Chair,"Ergonomic, Adjustable height",5,725,Furniture
LED Light Bulb,"60W Equivalent, Soft White",89,279,Home Goods
Desk Chair,"Ergonomic, Adjustable height",58,161,Furniture
Running Shoes,"Size 10, Breathable Mesh",34,604,Clothing
Desk Chair,"Ergonomic, Adjustable height",29,92,Furniture
Wristwatch,"Analog, Leather Strap",37,947,Fashion
LED Light Bulb,"60W Equivalent, Soft White",7,860,Home Goods
Blender,"500W, 3-speed",10,764,Appliances
Guitar,"Acoustic, Natural Finish",82,421,Musical Instruments
Backpack,"Water-resistant, 20L capacity",89,543,Accessories
Blender,"500W, 3-speed",70,278,Appliances
Blender,"500W, 3-speed",45,463,Appliances
LED Light Bulb,"60W Equivalent, Soft White",1,177,Home Goods
Backpack,"Water-resistant, 20L capacity",86,906,Accessories
